Variable,Type,Value
edition,,4
masterTableNumber,,0
bufrHeaderCentre,,98
bufrHeaderSubCentre,,0
updateSequenceNumber,,0
dataCategory,,0
internationalDataSubCategory,,7
dataSubCategory,,7
masterTablesVersionNumber,,31
localTablesVersionNumber,,0
typicalYear,,YYYY
typicalMonth,,MM
typicalDay,,DD
typicalHour,,HH
typicalMinute,,MM
typicalSecond,,SS
typicalDate,,YYYYMMDD
typicalTime,,HHMMSS
numberOfSubsets,,1
observedData,,1
compressedData,,0
unexpandedDescriptors,,307080
subsetNumber,,1
blockNumber,Numeric,
stationNumber,Numeric,
stationOrSiteName,CCITT IA5,
stationType,CODE TABLE,
year,a,YYYY
month,mon,MM
day,d,DD
hour,h,HH
minute,min,
latitude,deg,
longitude,deg,
heightOfStationGroundAboveMeanSeaLevel,m,
heightOfBarometerAboveMeanSeaLevel,m,
nonCoordinatePressure,Pa,
pressureReducedToMeanSeaLevel,Pa,
3HourPressureChange,Pa,
characteristicOfPressureTendency,CODE TABLE,
24HourPressureChange,Pa,
pressure,Pa,XXXXX
nonCoordinateGeopotentialHeight,gpm,
#1#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
airTemperature,K,XXX.XX
dewpointTemperature,K,
relativeHumidity,%,XX
#2#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,XX.X
horizontalVisibility,m,
#3#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
totalPrecipitationPast24Hours,kg m-2,
#4#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
cloudCoverTotal,%,
verticalSignificanceSurfaceObservations,CODE TABLE,
cloudAmount,CODE TABLE,
heightOfBaseOfCloud,m,
cloudType,CODE TABLE,
cloudType,CODE TABLE,
cloudType,CODE TABLE,
delayedDecriptorReplicationFactor,Numeric,
verticalSignificanceSurfaceObservations,CODE TABLE,
cloudAmount,CODE TABLE,
cloudType,CODE TABLE,
heightOfBaseOfCloud,m,
delayedDescriptorReplicationFactor,Numeric,
verticalSignificanceSurfaceObservations,CODE TABLE,
cloudAmount,CODE TABLE,
cloudType,CODE TABLE,
heightOfTopOfCloud,m,
cloudTopDescription,CODE TABLE,
verticalSignificanceSurfaceObservations,CODE TABLE,
trueDirectionFromWhichPhenomenonCloudsAreMovingOrInWhichTheyAreObserved,deg,
verticalSignificanceSurfaceObservations,CODE TABLE,
trueDirectionFromWhichPhenomenonCloudsAreMovingOrInWhichTheyAreObserved,deg,
verticalSignificanceSurfaceObservations,CODE TABLE,
trueDirectionFromWhichPhenomenonCloudsAreMovingOrInWhichTheyAreObserved,deg,
verticalSignificanceSurfaceObservations,CODE TABLE,
trueDirectionFromWhichPhenomenonCloudsAreMovingOrInWhichTheyAreObserved,deg,
verticalSignificanceSurfaceObservations,CODE TABLE,
bearingOrAzimuth,deg,
elevation,deg,
cloudType,CODE TABLE,
bearingOrAzimuth,deg,
elevation,deg,
stateOfGround,CODE TABLE,
totalSnowDepth,m,
groundMinimumTemperaturePast12Hours,K,
presentWeather,CODE TABLE,
#1#timePeriod,h,
pastWeather1,CODE TABLE,
pastWeather2,CODE TABLE,
#2#timePeriod,h,
totalSunshine,min,
#3#timePeriod,h,
totalSunshine,min,
#5#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
#4#timePeriod,h,
totalPrecipitationTotalWaterEquivalent,kg m-2,
#5#timePeriod,h,
totalPrecipitationTotalWaterEquivalent,kg m-2,
#6#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
#6#timePeriod,h,
#7#timePeriod,h,
maximumTemperatureAtHeightAndOverPeriodSpecified,K,
#8#timePeriod,h,
#9#timePeriod,h,
minimumTemperatureAtHeightAndOverPeriodSpecified,K,
#7#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,
instrumentationForWindMeasurement,FLAG TABLE,
#1#timeSignificance,CODE TABLE,X
#10#timePeriod,min,
windDirection,deg,XXX
windSpeed,m/s,XX.X
#2#timeSignificance,CODE TABLE,X
#11#timePeriod,min,XX
maximumWindGustDirection,deg,
maximumWindGustSpeed,m/s,
#11#timePeriod,min,
maximumWindGustDirection,deg,
maximumWindGustSpeed,m/s,
#12#timePeriod,min,
maximumWindGustDirection,deg,
maximumWindGustSpeed,m/s,
#8#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,XX.X
typeOfInstrumentationForEvaporationMeasurement,kg m-2,
evaporation,kg m-2,
#13#timePeriod,h,
longWaveRadiationIntegratedOverPeriodSpecified,J m-2,XX.X
shortWaveRadiationInegratedOverPeriodSpecified,J m-2,XX.X
netRadiationIntegratedOverPeriodSpecified,J m-2,
globalSolarRadiationIntegratedOverPeriodSpecified,J m-2,
diffuseSolarRadiationIntegratedOverPeriodSpecified,J m-2,
directSolarRadiationIntegratedOverPeriodSpecified,J m-2,
#14#timePeriod,h,XX
longWaveRadiationIntegratedOverPeriodSpecified,J m-2,XX.X
shortWaveRadiationInegratedOverPeriodSpecified,J m-2,XX.X
netRadiationIntegratedOverPeriodSpecified,J m-2,
globalSolarRadiationIntegratedOverPeriodSpecified,J m-2,
diffuseSolarRadiationIntegratedOverPeriodSpecified,J m-2,
directSolarRadiationIntegratedOverPeriodSpecified,J m-2,
#15#timePeriod,h,X
#16#timePeriod,h,
temperatureChangeOverSpecifiedPeriod,K,
